"id","wave","TMP_LAG0","TMP_LAG1","TMP_LAG2","TMP_LAG3","TMP_LAG4","PRE_LAG0","PRE_LAG1","PRE_LAG2","PRE_LAG3","PRE_LAG4","r20mm_LAG0","r20mm_LAG1","r20mm_LAG2","r20mm_LAG3","r20mm_LAG4","cwd_LAG0","cwd_LAG1","cwd_LAG2","cwd_LAG3","cwd_LAG4","cdd_LAG0","cdd_LAG1","cdd_LAG2","cdd_LAG3","cdd_LAG4","txx_LAG0","txx_LAG1","txx_LAG2","txx_LAG3","txx_LAG4"
"1",2015,14.04,14.14,13.97,13.98,14.02,328.28,307.79,292.97,335.12,319.86,1,1.02,0.96,1.55,1.21,5.99,5.74,5.78,6.18,5.64,118.51,124.09,127.74,125.46,125.96,41.26,40.09,40.47,39.88,40.41
"1",2016,14.09,14.04,14.14,13.97,13.98,360.2,328.28,307.79,292.97,335.12,1.38,1,1.02,0.96,1.55,6.41,5.99,5.74,5.78,6.18,105.07,118.51,124.09,127.74,125.46,40.79,41.26,40.09,40.47,39.88
"1",2017,13.94,14.09,14.04,14.14,13.97,395.13,360.2,328.28,307.79,292.97,1.74,1.38,1,1.02,0.96,6.92,6.41,5.99,5.74,5.78,110.54,105.07,118.51,124.09,127.74,40.6,40.79,41.26,40.09,40.47
"1",2018,13.91,13.94,14.09,14.04,14.14,321.76,395.13,360.2,328.28,307.79,1.32,1.74,1.38,1,1.02,5.88,6.92,6.41,5.99,5.74,124.01,110.54,105.07,118.51,124.09,40.71,40.6,40.79,41.26,40.09
"1",2019,14.3,13.91,13.94,14.09,14.04,336.98,321.76,395.13,360.2,328.28,1.25,1.32,1.74,1.38,1,5.62,5.88,6.92,6.41,5.99,124.58,124.01,110.54,105.07,118.51,41.09,40.71,40.6,40.79,41.26
"1",2020,14.35,14.3,13.91,13.94,14.09,390.61,336.98,321.76,395.13,360.2,1.94,1.25,1.32,1.74,1.38,6.11,5.62,5.88,6.92,6.41,112.11,124.58,124.01,110.54,105.07,41.17,41.09,40.71,40.6,40.79
"1",2021,14.3,14.35,14.3,13.91,13.94,333.81,390.61,336.98,321.76,395.13,1.36,1.94,1.25,1.32,1.74,6.21,6.11,5.62,5.88,6.92,120.12,112.11,124.58,124.01,110.54,41.97,41.17,41.09,40.71,40.6
"1",2022,14.19,14.3,14.35,14.3,13.91,340.28,333.81,390.61,336.98,321.76,1.37,1.36,1.94,1.25,1.32,6.3,6.21,6.11,5.62,5.88,109.63,120.12,112.11,124.58,124.01,40.96,41.97,41.17,41.09,40.71
"1",2023,14.65,14.19,14.3,14.35,14.3,307.09,340.28,333.81,390.61,336.98,1,1.37,1.36,1.94,1.25,5.52,6.3,6.21,6.11,5.62,115.67,109.63,120.12,112.11,124.58,41.96,40.96,41.97,41.17,41.09
"1",2024,14.87,14.65,14.19,14.3,14.35,348.34,307.09,340.28,333.81,390.61,1.45,1,1.37,1.36,1.94,6.21,5.52,6.3,6.21,6.11,115.31,115.67,109.63,120.12,112.11,41.12,41.96,40.96,41.97,41.17
"1",2025,14.84,14.87,14.65,14.19,14.3,353.01,348.34,307.09,340.28,333.81,1.37,1.45,1,1.37,1.36,5.87,6.21,5.52,6.3,6.21,118.4,115.31,115.67,109.63,120.12,40.96,41.12,41.96,40.96,41.97
"1",2026,14.66,14.84,14.87,14.65,14.19,365.95,353.01,348.34,307.09,340.28,1.74,1.37,1.45,1,1.37,6.37,5.87,6.21,5.52,6.3,113.59,118.4,115.31,115.67,109.63,41.63,40.96,41.12,41.96,40.96
"1",2027,14.72,14.66,14.84,14.87,14.65,331.92,365.95,353.01,348.34,307.09,1.29,1.74,1.37,1.45,1,6.4,6.37,5.87,6.21,5.52,122.99,113.59,118.4,115.31,115.67,41.65,41.63,40.96,41.12,41.96
"1",2028,14.31,14.72,14.66,14.84,14.87,384.84,331.92,365.95,353.01,348.34,1.77,1.29,1.74,1.37,1.45,6.58,6.4,6.37,5.87,6.21,105.01,122.99,113.59,118.4,115.31,41.54,41.65,41.63,40.96,41.12
